frame_index,pos_coluna,pos_linha,largura,altura,valor
0,192,16,4,4,51
0,200,16,8,8,102
0,192,24,8,8,102
0,200,24,8,8,102
0,208,16,4,8,102
0,216,16,8,8,102
0,208,24,8,8,102
0,216,24,8,8,102
0,224,0,16,16,153
0,240,0,8,4,102
0,248,0,4,4,51
0,240,8,8,4,102
0,248,8,4,8,102
0,224,16,8,8,102
0,232,16,4,4,51
0,224,24,8,8,102
0,232,24,8,8,102
0,240,16,4,8,102
0,248,16,8,8,102
0,240,24,4,8,102
0,248,24,8,8,102
0,192,32,32,32,204
0,224,32,32,32,204
0,256,0,32,32,204
0,288,0,16,16,153
0,304,0,8,4,102
0,312,0,8,8,102
0,304,8,8,8,102
0,312,8,8,8,102
0,288,16,16,8,153
0,288,24,16,8,153
0,304,16,8,8,102
0,312,16,8,8,102
0,304,24,8,8,102
0,312,24,8,8,102
0,256,32,16,16,153
0,272,32,16,16,153
0,256,48,16,16,153
0,272,48,8,8,102
0,280,48,8,8,102
0,272,56,8,8,102
0,280,56,8,4,102
0,288,32,8,8,102
0,296,32,4,4,51
0,288,40,8,8,102
0,296,40,8,8,102
0,304,32,16,16,153
0,288,48,8,8,102
0,296,48,4,4,51
0,288,56,8,8,102
0,296,56,8,8,102
0,304,48,8,16,153
0,312,48,8,16,153
0,320,0,16,16,153
0,336,0,4,4,51
0,344,0,8,8,102
0,336,8,8,8,102
0,344,8,4,8,102
0,320,16,8,8,102
0,328,16,4,8,102
0,320,24,8,8,102
0,328,24,8,8,102
0,336,16,8,8,102
0,344,16,4,8,102
0,336,24,8,4,102
0,344,24,8,8,102
0,352,0,8,8,102
0,360,0,8,8,102
0,352,8,8,8,102
0,360,8,4,4,51
0,368,0,16,16,153
0,352,16,8,8,102
0,360,16,8,8,102
0,352,24,4,8,102
0,360,24,8,8,102
0,368,16,8,8,102
0,376,16,8,8,102
0,368,24,8,8,102
0,376,24,8,8,102
0,320,32,32,32,204
0,352,32,16,16,153
0,368,32,8,4,102
0,376,32,8,8,102
0,368,40,8,8,102
0,376,40,4,4,51
0,352,48,8,8,102
0,360,48,4,4,51
0,352,56,8,8,102
0,360,56,8,8,102
0,368,48,8,8,102
0,376,48,8,8,102
0,368,56,8,8,102
0,376,56,8,8,102
0,384,0,16,16,153
0,400,0,8,8,102
0,408,0,8,8,102
0,400,8,8,4,102
0,408,8,8,8,102
0,384,16,8,8,102
0,392,16,8,8,102
0,384,24,8,8,102
0,392,24,8,4,102
0,400,16,8,8,102
0,408,16,8,8,102
0,400,24,8,8,102
0,408,24,4,8,102
0,416,0,32,32,204
0,384,32,32,32,204
0,416,32,8,8,102
0,424,32,8,8,102
0,416,40,8,8,102
0,424,40,4,8,102
0,432,32,8,8,102
0,440,32,8,8,102
0,432,40,8,8,102
0,440,40,8,8,102
0,416,48,8,8,102
0,424,48,4,8,102
0,416,56,8,8,102
0,424,56,4,8,102
0,432,48,8,8,102
0,440,48,8,8,102
0,432,56,8,8,102
0,440,56,8,8,102
0,448,0,16,8,153
0,448,8,16,8,153
0,464,0,8,8,102
0,472,0,8,8,102
0,464,8,8,8,102
0,472,8,8,4,102
0,448,16,8,8,102
0,456,16,8,8,102
0,448,24,8,8,102
0,456,24,4,4,51
0,464,16,8,4,102
0,472,16,8,8,102
0,464,24,8,8,102
0,472,24,4,4,51
0,480,0,4,4,51
0,488,0,8,4,102
0,480,8,4,8,102
0,488,8,8,4,102
0,496,0,16,8,153
0,496,8,16,8,153
0,480,16,8,8,102
0,488,16,8,8,102
0,480,24,8,8,102
0,488,24,8,8,102
0,496,16,8,8,102
0,504,16,8,8,102
0,496,24,8,8,102
0,504,24,8,8,102
0,448,32,4,4,51
0,456,32,8,8,102
0,448,40,4,8,102
0,456,40,4,4,51
0,464,32,16,16,153
0,448,48,4,8,102
0,456,48,8,8,102
0,448,56,8,8,102
0,456,56,4,8,102
0,464,48,8,4,102
0,472,48,4,4,51
0,464,56,8,8,102
0,472,56,8,8,102
0,480,32,8,8,102
0,488,32,4,4,51
0,480,40,8,4,102
0,488,40,4,8,102
0,496,32,8,8,102
0,504,32,4,8,102
0,496,40,4,8,102
0,504,40,4,8,102
0,480,48,8,4,102
0,488,48,4,8,102
0,480,56,8,8,102
0,488,56,8,8,102
0,496,48,16,8,153
0,496,56,16,8,153
0,512,0,16,16,153
0,528,0,16,16,153
0,512,16,8,8,102
0,520,16,8,8,102
0,512,24,8,8,102
0,520,24,8,4,102
0,528,16,8,4,102
0,536,16,8,4,102
0,528,24,8,8,102
0,536,24,8,4,102
0,544,0,8,8,102
0,552,0,8,8,102
0,544,8,4,4,51
0,552,8,4,4,51
0,560,0,16,16,153
0,544,16,8,8,102
0,552,16,8,8,102
0,544,24,4,4,51
0,552,24,4,8,102
0,560,16,8,8,102
0,568,16,4,4,51
0,560,24,8,4,102
0,568,24,4,4,51
0,512,32,16,16,153
0,528,32,8,8,102
0,536,32,4,8,102
0,528,40,4,4,51
0,536,40,8,4,102
0,512,48,8,8,102
0,520,48,8,4,102
0,512,56,4,8,102
0,520,56,4,4,51
0,528,48,8,4,102
0,536,48,4,4,51
0,528,56,8,8,102
0,536,56,4,4,51
0,544,32,8,8,102
0,552,32,4,8,102
0,544,40,8,4,102
0,552,40,8,4,102
0,560,32,8,8,102
0,568,32,8,8,102
0,560,40,8,8,102
0,568,40,4,4,51
0,544,48,8,4,102
0,552,48,8,4,102
0,544,56,4,4,51
0,552,56,4,8,102
0,560,48,8,8,102
0,568,48,8,4,102
0,560,56,4,4,51
0,568,56,8,4,102
0,576,0,8,8,102
0,584,0,8,8,102
0,576,8,8,8,102
0,584,8,8,4,102
0,592,0,16,16,153
0,576,16,8,8,102
0,584,16,4,4,51
0,576,24,4,4,51
0,584,24,4,4,51
0,592,16,16,8,153
0,592,24,16,8,153
0,608,0,8,8,102
0,616,0,8,4,102
0,608,8,8,8,102
0,616,8,8,8,102
0,624,0,16,8,153
0,624,8,16,8,153
0,608,16,8,8,102
0,616,16,8,4,102
0,608,24,8,8,102
0,616,24,8,4,102
0,624,16,8,8,102
0,632,16,4,4,51
0,624,24,8,8,102
0,632,24,8,8,102
0,576,32,4,4,51
0,584,32,4,8,102
0,576,40,8,4,102
0,584,40,4,4,51
0,592,32,8,8,102
0,600,32,8,8,102
0,592,40,4,4,51
0,600,40,4,4,51
0,576,48,4,4,51
0,584,48,8,4,102
0,576,56,4,8,102
0,584,56,8,4,102
0,592,48,8,8,102
0,600,48,8,8,102
0,592,56,8,8,102
0,600,56,8,4,102
0,608,32,8,8,102
0,616,32,4,4,51
0,608,40,4,4,51
0,616,40,8,4,102
0,624,32,4,8,102
0,632,32,4,8,102
0,624,40,4,4,51
0,632,40,4,4,51
0,608,48,8,8,102
0,616,48,8,8,102
0,608,56,4,8,102
0,616,56,4,8,102
0,624,48,8,8,102
0,632,48,4,8,102
0,624,56,8,4,102
0,632,56,8,8,102
0,640,0,32,32,204
0,672,0,32,32,204
0,640,32,8,8,102
0,648,32,8,4,102
0,640,40,4,4,51
0,648,40,4,4,51
0,656,32,16,16,153
0,640,48,4,4,51
0,648,48,8,4,102
0,640,56,4,4,51
0,648,56,8,4,102
0,656,48,8,4,102
0,664,48,4,4,51
0,656,56,4,4,51
0,664,56,4,4,51
0,672,32,32,32,204
0,704,0,32,32,204
0,736,0,8,8,102
0,744,0,8,8,102
0,736,8,8,4,102
0,744,8,8,4,102
0,752,0,8,8,102
0,760,0,4,4,51
0,752,8,8,8,102
0,760,8,8,8,102
0,736,16,8,8,102
0,744,16,4,4,51
0,736,24,8,8,102
0,744,24,4,4,51
0,752,16,4,4,51
0,760,16,8,8,102
0,752,24,4,4,51
0,760,24,8,4,102
0,704,32,32,32,204
0,736,32,8,4,102
0,744,32,4,4,51
0,736,40,4,8,102
0,744,40,4,8,102
0,752,32,4,8,102
0,760,32,8,4,102
0,752,40,4,8,102
0,760,40,8,4,102
0,736,48,16,16,153
0,752,48,4,4,51
0,760,48,4,4,51
0,752,56,4,4,51
0,760,56,4,4,51
0,768,0,8,4,102
0,776,0,8,8,102
0,768,8,8,8,102
0,776,8,8,4,102
0,784,0,16,16,153
0,768,16,8,8,102
0,776,16,8,4,102
0,768,24,4,4,51
0,776,24,4,4,51
0,784,16,8,4,102
0,792,16,8,8,102
0,784,24,8,8,102
0,792,24,4,4,51
0,800,0,16,8,153
0,800,8,16,8,153
0,816,0,16,16,153
0,800,16,8,8,102
0,808,16,8,8,102
0,800,24,8,4,102
0,808,24,8,8,102
0,816,16,16,16,153
0,768,32,8,8,102
0,776,32,4,4,51
0,768,40,4,4,51
0,776,40,4,4,51
0,784,32,4,4,51
0,792,32,4,4,51
0,784,40,4,8,102
0,792,40,8,4,102
0,768,48,16,16,153
0,784,48,4,4,51
0,792,48,4,4,51
0,784,56,4,8,102
0,792,56,4,8,102
0,800,32,8,8,102
0,808,32,8,8,102
0,800,40,4,4,51
0,808,40,4,4,51
0,816,32,4,8,102
0,824,32,8,8,102
0,816,40,4,4,51
0,824,40,8,4,102
0,800,48,8,8,102
0,808,48,8,8,102
0,800,56,4,4,51
0,808,56,4,8,102
0,816,48,16,16,153
0,832,0,16,16,153
0,848,0,16,16,153
0,832,16,16,16,153
0,848,16,16,8,153
0,848,24,16,8,153
0,864,0,16,16,153
0,880,0,16,16,153
0,864,16,16,16,153
0,880,16,16,8,153
0,880,24,16,8,153
0,832,32,16,16,153
0,848,32,16,16,153
0,832,48,8,4,102
0,840,48,8,8,102
0,832,56,4,8,102
0,840,56,4,4,51
0,848,48,16,8,153
0,848,56,16,8,153
0,864,32,32,32,204
0,896,0,16,16,153
0,912,0,16,16,153
0,896,16,16,16,153
0,912,16,16,16,153
0,928,0,16,16,153
0,944,0,16,16,153
0,928,16,16,16,153
0,944,16,16,16,153
0,896,32,32,32,204
0,928,32,32,16,204
0,928,48,32,16,204
0,960,0,16,16,153
0,976,0,16,16,153
0,960,16,16,16,153
0,976,16,16,16,153
0,992,0,32,32,204
0,960,32,32,32,204
0,992,32,16,16,153
0,1008,32,16,16,153
0,992,48,16,16,153
0,1008,48,16,16,153
0,1024,0,16,16,153
0,1040,0,16,8,153
0,1040,8,16,8,153
0,1024,16,16,16,153
0,1040,16,8,16,153
0,1048,16,8,16,153
0,1056,0,32,32,204
0,1024,32,16,16,153
0,1040,32,8,16,153
0,1048,32,8,16,153
0,1024,48,16,16,153
0,1040,48,16,16,153
0,1056,32,32,16,204
0,1056,48,32,16,204
0,1088,0,16,16,153
0,1104,0,8,4,102
0,1112,0,4,4,51
0,1104,8,8,8,102
0,1112,8,4,4,51
0,1088,16,16,16,153
0,1104,16,16,8,153
0,1104,24,16,8,153
0,1120,0,8,8,102
0,1128,0,8,4,102
0,1120,8,8,8,102
0,1128,8,4,4,51
0,1136,0,16,16,153
0,1120,16,8,16,153
0,1128,16,8,16,153
0,1136,16,4,8,102
0,1144,16,4,4,51
0,1136,24,8,4,102
0,1144,24,8,8,102
0,1088,32,8,4,102
0,1096,32,8,8,102
0,1088,40,8,4,102
0,1096,40,8,8,102
0,1104,32,16,8,153
0,1104,40,16,8,153
0,1088,48,16,16,153
0,1104,48,16,16,153
0,1120,32,4,8,102
0,1128,32,8,4,102
0,1120,40,8,8,102
0,1128,40,4,8,102
0,1136,32,8,8,102
0,1144,32,8,8,102
0,1136,40,8,8,102
0,1144,40,8,8,102
0,1120,48,8,8,102
0,1128,48,8,8,102
0,1120,56,8,8,102
0,1128,56,4,8,102
0,1136,48,4,4,51
0,1144,48,8,8,102
0,1136,56,8,4,102
0,1144,56,4,4,51
0,1152,0,8,8,102
0,1160,0,8,4,102
0,1152,8,8,4,102
0,1160,8,8,8,102
0,1168,0,8,4,102
0,1176,0,8,8,102
0,1168,8,4,4,51
0,1176,8,8,8,102
0,1152,16,16,8,153
0,1152,24,16,8,153
0,1168,16,16,16,153
0,1184,0,16,32,204
0,1200,0,16,32,204
0,1152,32,8,16,153
0,1160,32,8,16,153
0,1168,32,16,16,153
0,1152,48,8,8,102
0,1160,48,4,4,51
0,1152,56,8,8,102
0,1160,56,8,4,102
0,1168,48,8,8,102
0,1176,48,8,8,102
0,1168,56,4,8,102
0,1176,56,8,8,102
0,1184,32,16,16,153
0,1200,32,8,8,102
0,1208,32,8,8,102
0,1200,40,4,4,51
0,1208,40,4,8,102
0,1184,48,4,8,102
0,1192,48,8,8,102
0,1184,56,8,8,102
0,1192,56,8,4,102
0,1200,48,8,8,102
0,1208,48,8,8,102
0,1200,56,8,4,102
0,1208,56,8,8,102
0,1216,0,16,16,153
0,1232,0,16,8,153
0,1232,8,16,8,153
0,1216,16,16,16,153
0,1232,16,8,8,102
0,1240,16,4,8,102
0,1232,24,8,4,102
0,1240,24,8,8,102
0,1248,0,16,16,153
0,1264,0,16,16,153
0,1248,16,8,8,102
0,1256,16,8,8,102
0,1248,24,8,4,102
0,1256,24,8,8,102
0,1264,16,8,4,102
0,1272,16,8,4,102
0,1264,24,8,8,102
0,1272,24,8,8,102
0,1216,32,16,16,153
0,1232,32,8,8,102
0,1240,32,8,8,102
0,1232,40,8,8,102
0,1240,40,8,8,102
0,1216,48,16,16,153
0,1232,48,16,16,153
0,1248,32,4,4,51
0,1256,32,4,4,51
0,1248,40,4,4,51
0,1256,40,4,4,51
0,1264,32,8,8,102
0,1272,32,8,8,102
0,1264,40,8,8,102
0,1272,40,8,8,102
0,1248,48,8,8,102
0,1256,48,8,8,102
0,1248,56,8,8,102
0,1256,56,8,8,102
0,1264,48,4,8,102
0,1272,48,8,4,102
0,1264,56,8,8,102
0,1272,56,8,8,102
0,0,64,8,8,102
0,8,64,8,8,102
0,0,72,8,8,102
0,8,72,8,8,102
0,16,64,16,16,153
0,0,80,8,8,102
0,8,80,4,4,51
0,0,88,8,8,102
0,8,88,4,4,51
0,16,80,16,8,153
0,16,88,16,8,153
0,32,64,32,32,204
0,0,96,8,8,102
0,8,96,8,8,102
0,0,104,8,8,102
0,8,104,8,8,102
0,16,96,8,8,102
0,24,96,8,8,102
0,16,104,8,8,102
0,24,104,8,8,102
0,0,112,8,8,102
0,8,112,8,8,102
0,0,120,4,8,102
0,8,120,8,8,102
0,16,112,16,16,153
0,32,96,32,32,204
0,64,64,8,8,102
0,72,64,4,8,102
0,64,72,8,8,102
0,72,72,8,8,102
0,80,64,8,8,102
0,88,64,8,8,102
0,80,72,4,8,102
0,88,72,8,8,102
0,64,80,8,8,102
0,72,80,8,8,102
0,64,88,8,4,102
0,72,88,8,8,102
0,80,80,8,8,102
0,88,80,4,4,51
0,80,88,8,8,102
0,88,88,8,8,102
0,96,64,4,4,51
0,104,64,8,8,102
0,96,72,8,8,102
0,104,72,8,4,102
0,112,64,8,8,102
0,120,64,4,8,102
0,112,72,8,8,102
0,120,72,8,8,102
0,96,80,4,4,51
0,104,80,4,4,51
0,96,88,8,8,102
0,104,88,4,4,51
0,112,80,16,8,153
0,112,88,16,8,153
0,64,96,8,8,102
0,72,96,4,8,102
0,64,104,8,8,102
0,72,104,8,8,102
0,80,96,16,16,153
0,64,112,8,8,102
0,72,112,8,8,102
0,64,120,8,8,102
0,72,120,8,8,102
0,80,112,8,8,102
0,88,112,4,4,51
0,80,120,8,8,102
0,88,120,4,8,102
0,96,96,16,16,153
0,112,96,8,8,102
0,120,96,8,8,102
0,112,104,4,4,51
0,120,104,8,8,102
0,96,112,4,4,51
0,104,112,8,4,102
0,96,120,8,8,102
0,104,120,8,8,102
0,112,112,8,4,102
0,120,112,8,4,102
0,112,120,8,4,102
0,120,120,8,8,102
0,128,64,16,16,153
0,144,64,8,8,102
0,152,64,8,8,102
0,144,72,8,8,102
0,152,72,4,4,51
0,128,80,8,4,102
0,136,80,8,8,102
0,128,88,8,8,102
0,136,88,8,8,102
0,144,80,8,8,102
0,152,80,8,8,102
0,144,88,8,8,102
0,152,88,4,4,51
0,160,64,16,16,153
0,176,64,8,4,102
0,184,64,8,8,102
0,176,72,8,8,102
0,184,72,8,8,102
0,160,80,8,8,102
0,168,80,8,8,102
0,160,88,4,8,102
0,168,88,4,4,51
0,176,80,4,8,102
0,184,80,4,8,102
0,176,88,8,8,102
0,184,88,4,8,102
0,128,96,8,8,102
0,136,96,8,8,102
0,128,104,8,8,102
0,136,104,8,8,102
0,144,96,16,16,153
0,128,112,16,16,153
0,144,112,16,16,153
0,160,96,4,8,102
0,168,96,8,8,102
0,160,104,8,8,102
0,168,104,4,4,51
0,176,96,8,8,102
0,184,96,8,8,102
0,176,104,4,4,51
0,184,104,8,8,102
0,160,112,8,8,102
0,168,112,8,8,102
0,160,120,8,8,102
0,168,120,8,8,102
0,176,112,16,16,153
0,192,64,16,16,153
0,208,64,8,8,102
0,216,64,8,8,102
0,208,72,8,8,102
0,216,72,8,8,102
0,192,80,16,16,153
0,208,80,4,4,51
0,216,80,4,4,51
0,208,88,8,8,102
0,216,88,8,8,102
0,224,64,16,8,153
0,224,72,16,8,153
0,240,64,8,4,102
0,248,64,8,8,102
0,240,72,8,8,102
0,248,72,4,4,51
0,224,80,16,16,153
0,240,80,8,8,102
0,248,80,4,8,102
0,240,88,8,8,102
0,248,88,8,8,102
0,192,96,16,16,153
0,208,96,16,8,153
0,208,104,16,8,153
0,192,112,16,16,153
0,208,112,8,8,102
0,216,112,8,8,102
0,208,120,8,8,102
0,216,120,8,8,102
0,224,96,8,4,102
0,232,96,8,8,102
0,224,104,4,8,102
0,232,104,4,4,51
0,240,96,4,8,102
0,248,96,8,4,102
0,240,104,8,8,102
0,248,104,4,8,102
0,224,112,16,16,153
0,240,112,8,8,102
0,248,112,4,8,102
0,240,120,8,8,102
0,248,120,8,8,102
0,256,64,16,16,153
0,272,64,8,4,102
0,280,64,4,8,102
0,272,72,8,4,102
0,280,72,8,8,102
0,256,80,16,16,153
0,272,80,8,8,102
0,280,80,8,8,102
0,272,88,8,8,102
0,280,88,8,8,102
0,288,64,4,4,51
0,296,64,8,8,102
0,288,72,4,4,51
0,296,72,8,8,102
0,304,64,16,16,153
0,288,80,4,4,51
0,296,80,8,8,102
0,288,88,8,8,102
0,296,88,8,8,102
0,304,80,8,8,102
0,312,80,8,8,102
0,304,88,8,8,102
0,312,88,8,8,102
0,256,96,8,4,102
0,264,96,8,4,102
0,256,104,8,8,102
0,264,104,8,8,102
0,272,96,8,8,102
0,280,96,8,8,102
0,272,104,8,4,102
0,280,104,8,8,102
0,256,112,8,8,102
0,264,112,8,4,102
0,256,120,4,8,102
0,264,120,8,4,102
0,272,112,16,16,153
0,288,96,8,8,102
0,296,96,4,4,51
0,288,104,8,8,102
0,296,104,4,8,102
0,304,96,8,16,153
0,312,96,8,16,153
0,288,112,8,8,102
0,296,112,8,8,102
0,288,120,8,8,102
0,296,120,4,8,102
0,304,112,8,8,102
0,312,112,8,8,102
0,304,120,8,8,102
0,312,120,8,8,102
0,320,64,16,16,153
0,336,64,4,4,51
0,344,64,4,8,102
0,336,72,4,4,51
0,344,72,8,8,102
0,320,80,16,16,153
0,336,80,16,8,153
0,336,88,16,8,153
0,352,64,8,8,102
0,360,64,8,8,102
0,352,72,8,8,102
0,360,72,8,8,102
0,368,64,16,8,153
0,368,72,16,8,153
0,352,80,8,8,102
0,360,80,8,8,102
0,352,88,8,8,102
0,360,88,8,8,102
0,368,80,16,16,153
0,320,96,8,4,102
0,328,96,8,8,102
0,320,104,8,8,102
0,328,104,8,8,102
0,336,96,8,8,102
0,344,96,8,8,102
0,336,104,8,4,102
0,344,104,8,8,102
0,320,112,4,8,102
0,328,112,4,8,102
0,320,120,4,8,102
0,328,120,4,4,51
0,336,112,4,4,51
0,344,112,8,8,102
0,336,120,4,4,51
0,344,120,8,8,102
0,352,96,8,8,102
0,360,96,8,8,102
0,352,104,8,8,102
0,360,104,8,8,102
0,368,96,16,16,153
0,352,112,16,16,153
0,368,112,16,16,153
0,384,64,32,32,204
0,416,64,8,8,102
0,424,64,8,8,102
0,416,72,8,8,102
0,424,72,8,8,102
0,432,64,8,8,102
0,440,64,8,8,102
0,432,72,8,8,102
0,440,72,4,8,102
0,416,80,8,8,102
0,424,80,8,8,102
0,416,88,8,8,102
0,424,88,8,8,102
0,432,80,16,16,153
0,384,96,8,4,102
0,392,96,8,8,102
0,384,104,8,8,102
0,392,104,4,8,102
0,400,96,8,8,102
0,408,96,4,8,102
0,400,104,8,8,102
0,408,104,4,4,51
0,384,112,8,16,153
0,392,112,8,16,153
0,400,112,16,16,153
0,416,96,4,4,51
0,424,96,8,8,102
0,416,104,4,8,102
0,424,104,8,4,102
0,432,96,16,8,153
0,432,104,16,8,153
0,416,112,16,16,153
0,432,112,8,8,102
0,440,112,8,8,102
0,432,120,4,8,102
0,440,120,8,8,102
0,448,64,8,4,102
0,456,64,8,8,102
0,448,72,8,8,102
0,456,72,8,8,102
0,464,64,8,8,102
0,472,64,8,8,102
0,464,72,8,4,102
0,472,72,8,8,102
0,448,80,8,8,102
0,456,80,8,8,102
0,448,88,8,8,102
0,456,88,8,4,102
0,464,80,16,16,153
0,480,64,8,16,153
0,488,64,8,16,153
0,496,64,4,4,51
0,504,64,8,8,102
0,496,72,4,4,51
0,504,72,4,8,102
0,480,80,8,4,102
0,488,80,8,8,102
0,480,88,8,8,102
0,488,88,8,8,102
0,496,80,4,8,102
0,504,80,4,4,51
0,496,88,4,8,102
0,504,88,8,8,102
0,448,96,32,32,204
0,480,96,16,16,153
0,496,96,8,8,102
0,504,96,8,8,102
0,496,104,4,8,102
0,504,104,8,4,102
0,480,112,4,8,102
0,488,112,8,8,102
0,480,120,4,4,51
0,488,120,8,8,102
0,496,112,4,8,102
0,504,112,4,8,102
0,496,120,4,8,102
0,504,120,4,8,102
0,512,64,8,8,102
0,520,64,4,4,51
0,512,72,8,8,102
0,520,72,4,8,102
0,528,64,8,4,102
0,536,64,8,4,102
0,528,72,4,4,51
0,536,72,4,8,102
0,512,80,8,8,102
0,520,80,4,4,51
0,512,88,4,4,51
0,520,88,4,8,102
0,528,80,4,4,51
0,536,80,8,8,102
0,528,88,4,4,51
0,536,88,8,8,102
0,544,64,4,4,51
0,552,64,4,8,102
0,544,72,8,8,102
0,552,72,4,4,51
0,560,64,16,16,153
0,544,80,8,4,102
0,552,80,4,4,51
0,544,88,4,4,51
0,552,88,8,8,102
0,560,80,8,4,102
0,568,80,8,8,102
0,560,88,4,8,102
0,568,88,4,8,102
0,512,96,4,8,102
0,520,96,4,4,51
0,512,104,4,4,51
0,520,104,4,4,51
0,528,96,16,8,153
0,528,104,16,8,153
0,512,112,4,8,102
0,520,112,4,8,102
0,512,120,4,8,102
0,520,120,8,8,102
0,528,112,16,16,153
0,544,96,4,8,102
0,552,96,4,4,51
0,544,104,4,8,102
0,552,104,8,4,102
0,560,96,8,4,102
0,568,96,8,8,102
0,560,104,8,8,102
0,568,104,4,4,51
0,544,112,4,4,51
0,552,112,8,4,102
0,544,120,4,8,102
0,552,120,4,4,51
0,560,112,4,8,102
0,568,112,4,4,51
0,560,120,8,8,102
0,568,120,8,8,102
0,576,64,4,4,51
0,584,64,4,4,51
0,576,72,4,8,102
0,584,72,8,8,102
0,592,64,4,4,51
0,600,64,8,8,102
0,592,72,4,8,102
0,600,72,4,8,102
0,576,80,4,4,51
0,584,80,4,4,51
0,576,88,4,8,102
0,584,88,4,4,51
0,592,80,4,8,102
0,600,80,4,4,51
0,592,88,8,4,102
0,600,88,4,4,51
0,608,64,4,8,102
0,616,64,8,8,102
0,608,72,4,4,51
0,616,72,8,8,102
0,624,64,4,4,51
0,632,64,4,4,51
0,624,72,4,8,102
0,632,72,4,4,51
0,608,80,8,4,102
0,616,80,8,4,102
0,608,88,4,4,51
0,616,88,8,8,102
0,624,80,4,8,102
0,632,80,4,8,102
0,624,88,4,8,102
0,632,88,8,4,102
0,576,96,4,8,102
0,584,96,4,4,51
0,576,104,8,4,102
0,584,104,4,4,51
0,592,96,4,4,51
0,600,96,8,4,102
0,592,104,4,4,51
0,600,104,8,4,102
0,576,112,8,4,102
0,584,112,4,4,51
0,576,120,8,8,102
0,584,120,4,8,102
0,592,112,4,4,51
0,600,112,4,4,51
0,592,120,8,8,102
0,600,120,4,4,51
0,608,96,4,8,102
0,616,96,4,8,102
0,608,104,8,4,102
0,616,104,4,4,51
0,624,96,16,16,153
0,608,112,4,4,51
0,616,112,8,8,102
0,608,120,8,8,102
0,616,120,4,4,51
0,624,112,8,4,102
0,632,112,8,8,102
0,624,120,8,8,102
0,632,120,8,8,102
0,640,64,4,8,102
0,648,64,8,4,102
0,640,72,4,4,51
0,648,72,4,4,51
0,656,64,4,4,51
0,664,64,4,8,102
0,656,72,4,4,51
0,664,72,8,4,102
0,640,80,4,8,102
0,648,80,8,8,102
0,640,88,8,8,102
0,648,88,4,4,51
0,656,80,4,8,102
0,664,80,8,8,102
0,656,88,4,4,51
0,664,88,4,8,102
0,672,64,8,4,102
0,680,64,4,4,51
0,672,72,4,4,51
0,680,72,4,8,102
0,688,64,8,4,102
0,696,64,8,4,102
0,688,72,4,4,51
0,696,72,4,4,51
0,672,80,4,4,51
0,680,80,8,8,102
0,672,88,4,4,51
0,680,88,4,4,51
0,688,80,4,8,102
0,696,80,8,8,102
0,688,88,8,4,102
0,696,88,8,4,102
0,640,96,8,4,102
0,648,96,8,8,102
0,640,104,8,4,102
0,648,104,8,4,102
0,656,96,16,16,153
