pos_largura,pos_altura,quadratico,valor
1088,0,8,64
1096,0,4,0
1088,8,8,64
1096,8,8,64
1104,0,16,128
1088,16,16,128
1104,16,8,64
1112,16,8,64
1104,24,8,64
1112,24,8,64
1120,0,32,192
1088,32,8,64
1096,32,8,64
1088,40,8,64
1096,40,8,64
1104,32,16,128
1088,48,8,64
1096,48,8,64
1088,56,8,64
1096,56,8,64
1104,48,16,128
1120,32,32,192
1152,0,64,255
1216,0,64,255
1280,0,16,128
1296,0,8,64
1304,0,8,64
1296,8,8,64
1304,8,8,64
1280,16,16,128
1296,16,8,64
1304,16,8,64
1296,24,8,64
1304,24,4,0
1312,0,8,64
1320,0,8,64
1312,8,8,64
1320,8,8,64
1328,0,16,128
1312,16,8,64
1320,16,8,64
1312,24,8,64
1320,24,8,64
1328,16,16,128
1280,32,16,128
1288,32,16,128
1296,32,8,64
1304,32,8,64
1296,40,8,64
1304,40,8,64
1280,48,8,64
1288,48,8,64
1280,56,8,64
1288,56,8,64
1296,48,8,64
1304,48,8,64
1296,56,8,64
1304,56,8,64
1312,32,32,192
1344,0,64,255
1408,0,16,128
1424,0,16,128
1408,16,16,128
1424,16,16,128
1440,0,16,128
1456,0,8,64
1464,0,8,64
1456,8,8,64
1464,8,8,64
1440,16,16,128
1456,16,8,64
1464,16,8,64
1456,24,8,64
1464,24,8,64
1408,32,32,192
1440,32,16,128
1456,32,16,128
1440,48,16,128
1456,48,16,128
1472,0,8,64
1480,0,8,64
1472,8,8,64
1480,8,8,64
1488,0,16,128
1472,16,8,64
1480,16,8,64
1472,24,8,64
1480,24,8,64
1488,16,16,128
1504,0,32,192
1472,32,16,128
1480,32,16,128
1488,32,8,64
1496,32,8,64
1488,40,8,64
1496,40,8,64
1472,48,8,64
1480,48,8,64
1472,56,4,0
1480,56,8,64
1488,48,8,64
1496,48,8,64
1488,56,8,64
1496,56,8,64
1504,32,16,128
1520,32,16,128
1504,48,16,128
1520,48,16,128
1536,0,32,192
1568,0,8,64
1576,0,8,64
1568,8,8,64
1576,8,8,64
1584,0,16,128
1584,8,16,128
1568,16,8,64
1576,16,8,64
1568,24,8,64
1576,24,8,64
1584,16,4,0
1592,16,8,64
1584,24,8,64
1592,24,8,64
1536,32,8,64
1544,32,8,64
1536,40,8,64
1544,40,8,64
1552,32,16,128
1536,48,16,128
1552,48,8,64
1560,48,4,0
1552,56,8,64
1560,56,8,64
1568,32,8,64
1576,32,8,64
1568,40,8,64
1576,40,8,64
1584,32,16,128
1568,48,8,64
1576,48,8,64
1568,56,8,64
1576,56,8,64
1584,48,8,64
1592,48,8,64
1584,56,8,64
1592,56,8,64
1600,0,32,192
1632,0,32,192
1600,32,32,192
1632,32,32,192
1664,0,8,64
1672,0,8,64
1664,8,8,64
1672,8,8,64
1680,0,16,128
1664,16,8,64
1672,16,8,64
1664,24,8,64
1672,24,8,64
1680,16,16,128
1680,24,16,128
1696,0,16,128
1696,8,16,128
1712,0,8,64
1720,0,8,64
1712,8,8,64
1720,8,8,64
1696,16,16,128
1712,16,16,128
1664,32,32,192
1696,32,32,192
1728,0,8,64
1736,0,8,64
1728,8,8,64
1736,8,8,64
1744,0,16,128
1744,8,16,128
1728,16,16,128
1744,16,16,128
1760,0,16,128
1776,0,16,128
1760,16,16,128
1760,24,16,128
1776,16,8,64
1784,16,8,64
1776,24,8,64
1784,24,8,64
1728,32,8,64
1736,32,8,64
1728,40,8,64
1736,40,8,64
1744,32,8,64
1752,32,8,64
1744,40,8,64
1752,40,8,64
1728,48,16,128
1744,48,16,128
1760,32,8,64
1768,32,8,64
1760,40,8,64
1768,40,8,64
1776,32,16,128
1760,48,8,64
1768,48,8,64
1760,56,8,64
1768,56,8,64
1776,48,8,64
1784,48,8,64
1776,56,8,64
1784,56,8,64
1792,0,32,192
1824,0,32,192
1792,32,32,192
1824,32,32,192
1824,48,32,192
1856,0,32,192
1888,0,32,192
1856,32,32,192
1888,32,32,192
0,64,64,255
64,64,32,192
96,64,32,192
64,96,32,192
96,96,16,128
104,96,16,128
112,96,16,128
96,112,16,128
112,112,16,128
128,64,16,128
144,64,16,128
128,80,16,128
144,80,16,128
160,64,16,128
160,72,16,128
176,64,16,128
160,80,16,128
176,80,16,128
128,96,32,192
160,96,32,192
192,64,32,192
224,64,16,128
240,64,8,64
248,64,8,64
240,72,8,64
248,72,8,64
224,80,8,64
232,80,8,64
224,88,8,64
232,88,8,64
240,80,8,64
248,80,8,64
240,88,8,64
248,88,4,0
192,96,16,128
208,96,8,64
216,96,4,0
208,104,8,64
216,104,8,64
192,112,16,128
208,112,16,128
224,96,8,64
232,96,8,64
224,104,4,0
232,104,8,64
240,96,8,64
248,96,8,64
240,104,8,64
248,104,8,64
224,112,16,128
240,112,16,128
256,64,16,128
264,64,16,128
272,64,16,128
256,80,16,128
272,80,16,128
288,64,32,192
256,96,16,128
272,96,16,128
256,112,16,128
256,120,16,128
272,112,8,64
280,112,8,64
272,120,8,64
280,120,8,64
288,96,32,192
320,64,32,192
352,64,32,192
320,96,32,192
352,96,32,192
384,64,16,128
400,64,16,128
384,80,16,128
400,80,16,128
416,64,32,192
384,96,32,192
416,96,32,192
448,64,8,64
456,64,4,0
448,72,8,64
456,72,8,64
464,64,8,64
472,64,4,0
464,72,8,64
472,72,8,64
448,80,16,128
464,80,8,64
472,80,8,64
464,88,8,64
472,88,8,64
480,64,16,128
488,64,16,128
496,64,16,128
480,80,8,64
488,80,8,64
480,88,8,64
488,88,8,64
496,80,16,128
504,80,16,128
448,96,32,192
480,96,8,64
488,96,8,64
480,104,8,64
488,104,4,0
496,96,8,64
504,96,8,64
496,104,8,64
504,104,8,64
480,112,8,64
488,112,4,0
480,120,8,64
488,120,8,64
496,112,4,0
504,112,8,64
496,120,8,64
504,120,8,64
512,64,32,192
544,64,32,192
512,96,16,128
528,96,16,128
512,112,8,64
520,112,8,64
512,120,8,64
520,120,8,64
528,112,16,128
544,96,32,192
576,64,32,192
608,64,32,192
576,96,32,192
608,96,32,192
640,64,32,192
672,64,16,128
688,64,8,64
696,64,8,64
688,72,8,64
696,72,8,64
672,80,16,128
688,80,8,64
696,80,8,64
688,88,8,64
696,88,4,0
640,96,32,192
672,96,16,128
688,96,8,64
696,96,8,64
688,104,8,64
696,104,8,64
672,112,16,128
688,112,16,128
704,64,8,64
712,64,8,64
704,72,8,64
712,72,8,64
720,64,16,128
704,80,8,64
712,80,8,64
704,88,8,64
712,88,8,64
720,80,16,128
736,64,32,192
704,96,8,64
712,96,8,64
704,104,8,64
712,104,8,64
720,96,8,64
728,96,8,64
720,104,8,64
728,104,8,64
704,112,8,64
712,112,8,64
704,120,8,64
712,120,8,64
720,112,8,64
728,112,8,64
720,120,8,64
728,120,8,64
736,96,16,128
752,96,8,64
760,96,4,0
752,104,8,64
760,104,8,64
736,112,16,128
752,112,8,64
760,112,4,0
752,120,8,64
760,120,8,64
768,64,8,64
776,64,8,64
768,72,8,64
776,72,8,64
784,64,16,128
768,80,8,64
776,80,8,64
768,88,8,64
776,88,8,64
784,80,16,128
800,64,32,192
768,96,8,64
776,96,8,64
768,104,8,64
776,104,8,64
784,96,16,128
768,112,4,0
776,112,8,64
768,120,8,64
776,120,8,64
784,112,16,128
800,96,32,192
832,64,32,192
864,64,16,128
880,64,8,64
888,64,8,64
880,72,8,64
888,72,8,64
864,80,16,128
880,80,8,64
888,80,8,64
880,88,8,64
888,88,8,64
832,96,32,192
864,96,16,128
880,96,8,64
888,96,8,64
880,104,8,64
888,104,8,64
864,112,16,128
880,112,16,128
896,64,8,64
904,64,8,64
896,72,8,64
904,72,8,64
912,64,16,128
896,80,8,64
904,80,8,64
896,88,8,64
904,88,8,64
912,80,16,128
928,64,32,192
896,96,4,0
904,96,8,64
896,104,8,64
904,104,8,64
912,96,16,128
896,112,8,64
904,112,4,0
896,120,4,0
904,120,8,64
912,112,8,64
920,112,8,64
912,120,8,64
920,120,8,64
928,96,32,192
960,64,64,255
1024,64,32,192
1056,64,32,192
1072,64,32,192
1024,96,32,192
1056,96,16,128
1072,96,16,128
1080,96,16,128
1056,112,16,128
1072,112,16,128
1088,64,16,128
1096,64,16,128
1104,64,16,128
1088,80,16,128
1088,88,16,128
1104,80,16,128
1120,64,32,192
1088,96,8,64
1096,96,8,64
1088,104,8,64
1096,104,8,64
1104,96,16,128
1088,112,8,64
1096,112,8,64
1088,120,8,64
1096,120,8,64
1104,112,16,128
1120,96,32,192
1152,64,64,255
1216,64,32,192
1248,64,16,128
1264,64,16,128
1248,80,16,128
1264,80,8,64
1272,80,8,64
1264,88,8,64
1272,88,8,64
1216,96,32,192
1248,96,16,128
1264,96,8,64
1272,96,8,64
1264,104,8,64
1272,104,8,64
1248,112,16,128
1264,112,8,64
1272,112,8,64
1264,120,8,64
1272,120,8,64
1280,64,8,64
1288,64,8,64
1280,72,8,64
1288,72,8,64
1296,64,8,64
1304,64,8,64
1296,72,8,64
1304,72,8,64
1280,80,8,64
1288,80,8,64
1280,88,8,64
1288,88,8,64
1296,80,16,128
1312,64,32,192
1280,96,8,64
1288,96,8,64
1280,104,8,64
1288,104,8,64
1296,96,16,128
1280,112,8,64
1288,112,8,64
1280,120,8,64
1288,120,8,64
1296,112,16,128
1312,96,32,192
1344,64,64,255
1408,64,32,192
1440,64,32,192
1408,96,32,192
1440,96,32,192
1472,64,8,64
1480,64,8,64
1472,72,8,64
1480,72,8,64
1488,64,8,64
1496,64,8,64
1488,72,8,64
1496,72,8,64
1472,80,16,128
1488,80,8,64
1496,80,8,64
1488,88,8,64
1496,88,8,64
1504,64,16,128
1504,72,16,128
1520,64,16,128
1528,64,16,128
1504,80,8,64
1512,80,8,64
1504,88,8,64
1512,88,8,64
1520,80,16,128
1520,88,16,128
1472,96,16,128
1488,96,8,64
1496,96,8,64
1488,104,8,64
1496,104,8,64
1472,112,16,128
1480,112,16,128
1488,112,16,128
1504,96,8,64
1512,96,4,0
1504,104,8,64
1512,104,8,64
1520,96,8,64
1528,96,8,64
1520,104,8,64
1528,104,8,64
1504,112,8,64
1512,112,4,0
1504,120,8,64
1512,120,8,64
1520,112,16,128
1520,120,16,128
1536,64,8,64
1544,64,8,64
1536,72,8,64
1544,72,8,64
1552,64,16,128
1560,64,16,128
1536,80,8,64
1544,80,8,64
1536,88,8,64
1544,88,8,64
1552,80,16,128
1568,64,32,192
1536,96,8,64
1544,96,8,64
1536,104,8,64
1544,104,8,64
1552,96,16,128
1536,112,16,128
1552,112,16,128
1568,96,32,192
1600,64,32,192
1632,64,32,192
1600,96,32,192
1632,96,32,192
1664,64,32,192
1696,64,16,128
1712,64,8,64
1720,64,8,64
1712,72,8,64
1720,72,8,64
1696,80,16,128
1712,80,8,64
1720,80,8,64
1712,88,8,64
1720,88,8,64
1664,96,32,192
1696,96,32,192
1728,64,32,192
1760,64,16,128
1776,64,8,64
1784,64,8,64
1776,72,8,64
1784,72,8,64
1760,80,16,128
1776,80,16,128
1728,96,32,192
1760,96,32,192
1792,64,8,64
1800,64,8,64
1792,72,8,64
1800,72,8,64
1808,64,16,128
1792,80,8,64
1800,80,8,64
1792,88,8,64
1800,88,8,64
1808,80,8,64
1816,80,8,64
1808,88,8,64
1816,88,8,64
1824,64,32,192
1792,96,16,128
1808,96,16,128
1792,112,16,128
1808,112,16,128
1824,96,16,128
1840,96,16,128
1840,104,16,128
1824,112,8,64
1832,112,8,64
1824,120,8,64
1832,120,8,64
1840,112,8,64
1848,112,8,64
1840,120,8,64
1848,120,8,64
1856,64,16,128
1872,64,16,128
1856,80,16,128
1872,80,16,128
1888,64,16,128
1904,64,16,128
1888,80,16,128
1888,88,16,128
1904,80,16,128
1856,96,16,128
1856,104,16,128
1872,96,16,128
1872,104,16,128
1856,112,16,128
1872,112,16,128
1888,96,16,128
1904,96,16,128
1912,96,16,128
1888,112,8,64
1896,112,8,64
1888,120,8,64
1896,120,8,64
1904,112,16,128
0,128,32,192
32,128,16,128
48,128,16,128
56,128,16,128
32,144,16,128
48,144,16,128
0,160,16,128
0,168,16,128
16,160,16,128
0,176,16,128
16,176,16,128
32,160,32,192
64,128,32,192
96,128,32,192
64,160,32,192
96,160,16,128
112,160,16,128
96,176,16,128
112,176,16,128
128,128,64,255
192,128,32,192
224,128,16,128
240,128,8,64
248,128,8,64
240,136,8,64
248,136,8,64
224,144,16,128
240,144,16,128
192,160,32,192
224,160,32,192
256,128,16,128
264,128,16,128
272,128,16,128
256,144,8,64
264,144,8,64
256,152,8,64
264,152,8,64
272,144,8,64
280,144,8,64
272,152,8,64
280,152,8,64
288,128,16,128
304,128,16,128
288,144,16,128
304,144,16,128
256,160,16,128
272,160,8,64
280,160,8,64
272,168,8,64
280,168,8,64
256,176,16,128
272,176,16,128
288,160,8,64
296,160,8,64
288,168,8,64
296,168,8,64
304,160,8,64
312,160,8,64
304,168,8,64
312,168,8,64
288,176,8,64
296,176,8,64
288,184,8,64
296,184,8,64
304,176,16,128
304,184,16,128
320,128,32,192
352,128,32,192
320,160,16,128
336,160,16,128
320,176,8,64
328,176,8,64
320,184,8,64
328,184,8,64
336,176,16,128
352,160,32,192
384,128,64,255
448,128,32,192
480,128,16,128
496,128,8,64
504,128,8,64
496,136,8,64
504,136,4,0
480,144,16,128
496,144,16,128
448,160,32,192
480,160,32,192
512,128,8,64
520,128,8,64
512,136,8,64
520,136,8,64
528,128,8,64
536,128,8,64
528,136,4,0
536,136,8,64
512,144,8,64
520,144,8,64
512,152,8,64
520,152,8,64
528,144,8,64
536,144,8,64
528,152,8,64
536,152,8,64
544,128,32,192
512,160,8,64
520,160,8,64
512,168,8,64
520,168,8,64
528,160,8,64
536,160,8,64
528,168,8,64
536,168,8,64
512,176,16,128
528,176,8,64
536,176,8,64
528,184,8,64
536,184,8,64
544,160,8,64
552,160,8,64
544,168,4,0
552,168,4,0
560,160,16,128
544,176,8,64
552,176,8,64
544,184,8,64
552,184,8,64
560,176,8,64
568,176,8,64
560,184,8,64
568,184,8,64
576,128,32,192
608,128,32,192
576,160,32,192
608,160,16,128
624,160,16,128
608,176,16,128
624,176,8,64
632,176,8,64
624,184,8,64
632,184,8,64
640,128,32,192
672,128,32,192
640,160,16,128
640,168,16,128
656,160,8,64
664,160,8,64
656,168,8,64
664,168,8,64
640,176,16,128
640,184,16,128
656,176,16,128
672,160,16,128
672,168,16,128
688,160,16,128
672,176,16,128
688,176,16,128
704,128,8,64
712,128,8,64
704,136,8,64
712,136,8,64
720,128,16,128
728,128,16,128
704,144,16,128
720,144,8,64
728,144,8,64
720,152,8,64
728,152,8,64
736,128,16,128
752,128,16,128
760,128,16,128
736,144,8,64
744,144,8,64
736,152,4,0
744,152,8,64
752,144,8,64
760,144,8,64
752,152,8,64
760,152,8,64
704,160,8,64
712,160,8,64
704,168,8,64
712,168,8,64
720,160,16,128
704,176,8,64
712,176,8,64
704,184,8,64
712,184,8,64
720,176,16,128
720,184,16,128
736,160,8,64
744,160,8,64
736,168,8,64
744,168,8,64
752,160,16,128
736,176,8,64
744,176,8,64
736,184,8,64
744,184,8,64
752,176,8,64
760,176,8,64
752,184,8,64
760,184,8,64
768,128,8,64
776,128,8,64
768,136,8,64
776,136,8,64
784,128,16,128
768,144,16,128
784,144,8,64
792,144,8,64
784,152,8,64
792,152,8,64
800,128,16,128
816,128,16,128
800,144,8,64
808,144,8,64
800,152,8,64
808,152,8,64
816,144,16,128
816,152,16,128
768,160,16,128
784,160,16,128
768,176,16,128
784,176,16,128
800,160,16,128
816,160,8,64
824,160,8,64
816,168,8,64
824,168,8,64
800,176,16,128
816,176,16,128
832,128,8,64
840,128,8,64
832,136,8,64
840,136,8,64
848,128,8,64
856,128,8,64
848,136,8,64
856,136,8,64
832,144,16,128
832,152,16,128
848,144,8,64
856,144,8,64
848,152,8,64
856,152,8,64
864,128,32,192
864,144,32,192
832,160,8,64
840,160,8,64
832,168,8,64
840,168,8,64
848,160,8,64
856,160,8,64
848,168,8,64
856,168,8,64
832,176,16,128
848,176,16,128
864,160,32,192
896,128,8,64
904,128,8,64
896,136,8,64
904,136,8,64
912,128,8,64
920,128,8,64
912,136,8,64
920,136,8,64
896,144,16,128
912,144,8,64
920,144,8,64
912,152,4,0
920,152,8,64
928,128,32,192
896,160,8,64
904,160,8,64
896,168,8,64
904,168,8,64
912,160,4,0
920,160,8,64
912,168,8,64
920,168,8,64
896,176,16,128
904,176,16,128
912,176,8,64
920,176,8,64
912,184,8,64
920,184,8,64
928,160,16,128
944,160,16,128
928,176,16,128
944,176,16,128
960,128,32,192
992,128,32,192
960,160,32,192
992,160,32,192
1024,128,32,192
1024,144,32,192
1056,128,8,64
1064,128,8,64
1056,136,8,64
1064,136,8,64
1072,128,8,64
1080,128,8,64
1072,136,8,64
1080,136,8,64
1056,144,8,64
1064,144,8,64
1056,152,8,64
1064,152,8,64
1072,144,8,64
1080,144,8,64
1072,152,8,64
1080,152,8,64
1024,160,32,192
1056,160,16,128
1072,160,16,128
1056,176,16,128
1072,176,16,128
1088,128,8,64
1096,128,8,64
1088,136,8,64
1096,136,8,64
1104,128,8,64
1112,128,8,64
1104,136,8,64
1112,136,8,64
1088,144,16,128
1088,152,16,128
1104,144,16,128
1104,152,16,128
1120,128,16,128
1120,136,16,128
1136,128,16,128
1136,136,16,128
1120,144,16,128
1136,144,16,128
1088,160,8,64
1096,160,8,64
1088,168,8,64
1096,168,8,64
1104,160,16,128
1088,176,16,128
1104,176,16,128
1120,160,16,128
1120,168,16,128
1136,160,8,64
1144,160,8,64
1136,168,8,64
1144,168,8,64
1120,176,16,128
1136,176,16,128
1152,128,16,128
1168,128,16,128
1152,144,16,128
1168,144,16,128
1184,128,16,128
1200,128,16,128
1184,144,16,128
1192,144,16,128
1200,144,16,128
1152,160,16,128
1168,160,16,128
1152,176,16,128
1168,176,16,128
1184,160,16,128
1184,168,16,128
1200,160,16,128
1200,168,16,128
1184,176,16,128
1200,176,16,128
1216,128,16,128
1232,128,16,128
1216,144,8,64
1224,144,8,64
1216,152,8,64
1224,152,8,64
1232,144,16,128
1232,152,16,128
1248,128,16,128
1264,128,8,64
1272,128,8,64
1264,136,8,64
1272,136,8,64
1248,144,16,128
1248,152,16,128
1264,144,8,64
1272,144,8,64
1264,152,8,64
1272,152,8,64
1216,160,16,128
1232,160,16,128
1216,176,16,128
1224,176,16,128
1232,176,8,64
1240,176,8,64
1232,184,8,64
1240,184,8,64
1248,160,8,64
1256,160,8,64
1248,168,8,64
1256,168,8,64
1264,160,8,64
1272,160,8,64
1264,168,8,64
1272,168,8,64
1248,176,8,64
1256,176,8,64
1248,184,8,64
1256,184,8,64
1264,176,8,64
1272,176,8,64
1264,184,8,64
1272,184,8,64
1280,128,8,64
1288,128,8,64
1280,136,8,64
1288,136,8,64
1296,128,16,128
1280,144,16,128
1296,144,16,128
1312,128,32,192
1280,160,8,64
1288,160,4,0
1280,168,8,64
1288,168,8,64
1296,160,16,128
1296,168,16,128
1280,176,16,128
1296,176,8,64
1304,176,8,64
1296,184,4,0
1304,184,8,64
1312,160,16,128
1312,168,16,128
1328,160,16,128
1312,176,16,128
1328,176,16,128
1328,184,16,128
1344,128,32,192
1376,128,32,192
1344,160,16,128
1360,160,16,128
1344,176,8,64
1352,176,8,64
1344,184,8,64
1352,184,8,64
1360,176,8,64
1368,176,8,64
1360,184,8,64
1368,184,8,64
1376,160,32,192
1408,128,32,192
1440,128,32,192
1408,160,32,192
1440,160,16,128
1456,160,16,128
1440,176,16,128
1456,176,8,64
1464,176,8,64
1456,184,8,64
1464,184,4,0
1472,128,16,128
1488,128,8,64
1496,128,8,64
1488,136,8,64
1496,136,8,64
1472,144,16,128
1472,152,16,128
1488,144,8,64
1496,144,8,64
1488,152,8,64
1496,152,8,64
1504,128,8,64
1512,128,8,64
1504,136,8,64
1512,136,8,64
1520,128,8,64
1528,128,8,64
1520,136,8,64
1528,136,8,64
1504,144,16,128
1504,152,16,128
1520,144,16,128
1472,160,8,64
1480,160,8,64
1472,168,8,64
1480,168,8,64
1488,160,16,128
1496,160,16,128
1472,176,8,64
1480,176,8,64
1472,184,8,64
1480,184,8,64
1488,176,8,64
1496,176,8,64
1488,184,8,64
1496,184,8,64
1504,160,8,64
1512,160,8,64
1504,168,8,64
1512,168,8,64
1520,160,16,128
1520,168,16,128
1504,176,8,64
1512,176,4,0
1504,184,8,64
1512,184,4,0
1520,176,8,64
1528,176,8,64
1520,184,8,64
1528,184,8,64
1536,128,32,192
1568,128,32,192
1536,160,16,128
1552,160,16,128
1536,176,16,128
1552,176,16,128
1568,160,32,192
1600,128,64,255
1664,128,32,192
1696,128,32,192
1664,160,32,192
1696,160,16,128
1712,160,16,128
1696,176,16,128
1712,176,8,64
1720,176,8,64
1712,184,8,64
1720,184,8,64
1728,128,16,128
1744,128,16,128
1728,144,16,128
1744,144,16,128
1744,152,16,128
1760,128,8,64
1768,128,8,64
1760,136,8,64
1768,136,8,64
1776,128,16,128
1760,144,16,128
1776,144,8,64
1784,144,8,64
1776,152,8,64
1784,152,8,64
1728,160,16,128
1744,160,16,128
1744,168,16,128
1728,176,8,64
1736,176,8,64
1728,184,8,64
1736,184,8,64
1744,176,8,64
1752,176,8,64
1744,184,8,64
1752,184,8,64
1760,160,8,64
1768,160,8,64
1760,168,8,64
1768,168,8,64
1776,160,16,128
1760,176,16,128
1776,176,16,128
1792,128,16,128
1792,136,16,128
1808,128,16,128
1792,144,8,64
1800,144,8,64
1792,152,8,64
1800,152,8,64
1808,144,8,64
1816,144,8,64
1808,152,8,64
1816,152,8,64
1824,128,16,128
1840,128,16,128
1824,144,8,64
1832,144,8,64
1824,152,8,64
1832,152,8,64
1840,144,16,128
1792,160,16,128
1808,160,16,128
1792,176,16,128
1808,176,16,128
1824,160,16,128
1840,160,8,64
1848,160,8,64
1840,168,8,64
1848,168,4,0
1824,176,16,128
1840,176,16,128
1856,128,32,192
1888,128,8,64
1896,128,8,64
1888,136,8,64
1896,136,8,64
1904,128,8,64
1912,128,4,0
1904,136,8,64
1912,136,8,64
1888,144,8,64
1896,144,8,64
1888,152,8,64
1896,152,8,64
1904,144,8,64
1912,144,8,64
1904,152,8,64
1912,152,8,64
1856,160,8,64
1864,160,8,64
1856,168,8,64
1864,168,8,64
1872,160,16,128
1856,176,8,64
1864,176,8,64
1856,184,8,64
1864,184,8,64
1872,176,8,64
1880,176,8,64
1872,184,8,64
1880,184,8,64
1888,160,8,64
1896,160,8,64
1888,168,8,64
1896,168,8,64
1904,160,16,128
1888,176,16,128
1888,184,16,128
1904,176,8,64
1912,176,8,64
1904,184,8,64
1912,184,8,64
0,192,16,128
16,192,16,128
0,208,16,128
16,208,16,128
32,192,32,192
0,224,32,192
32,224,8,64
40,224,8,64
32,232,8,64
40,232,8,64
48,224,8,64
56,224,8,64
48,232,4,0
56,232,8,64
32,240,16,128
48,240,8,64
56,240,4,0
48,248,8,64
56,248,8,64
64,192,32,192
96,192,16,128
112,192,16,128
96,208,16,128
112,208,16,128
64,224,8,64
72,224,4,0
64,232,8,64
72,232,8,64
80,224,8,64
88,224,8,64
80,232,8,64
88,232,8,64
64,240,8,64
72,240,8,64
64,248,8,64
72,248,8,64
80,240,8,64
88,240,8,64
80,248,8,64
88,248,8,64
96,224,16,128
112,224,16,128
96,240,16,128
112,240,16,128
128,192,64,255
192,192,32,192
224,192,32,192
192,224,32,192
224,224,32,192
256,192,32,192
288,192,16,128
304,192,8,64
312,192,8,64
304,200,8,64
312,200,8,64
288,208,16,128
304,208,16,128
256,224,32,192
288,224,32,192
320,192,8,64
328,192,8,64
320,200,8,64
328,200,8,64
336,192,8,64
